endpoint1,endpoint2,vrf
ACY-DC1-core-01,ACY-DC1-tdist-01,
ACY-DC1-core-01,ACY-DC1-tdist-02,
ACY-DC1-core-02,ACY-DC1-tdist-01,
ACY-DC1-core-02,ACY-DC1-tdist-02,
ACY-DC1-tdist-01,ACY-DC1-cle-01,
ACY-DC1-tdist-01,ACY-DC1-cle-02,
ACY-DC1-tdist-02,ACY-DC1-cle-01,
ACY-DC1-tdist-02,ACY-DC1-cle-02,
ACY-DC1-cle-01,AWS-TGW-USE1,AWS
ACY-DC1-cle-01,AZURE-GW-EUS,AZURE
ACY-DC1-cle-02,AWS-TGW-USE1,AWS
ACY-DC1-cle-02,AZURE-GW-EUS,AZURE
HFA-DC1-core-01,HFA-DC1-tdist-01,
HFA-DC1-core-01,HFA-DC1-tdist-02,
HFA-DC1-core-02,HFA-DC1-tdist-01,
HFA-DC1-core-02,HFA-DC1-tdist-02,
HFA-DC1-tdist-01,HFA-DC1-cle-01,
HFA-DC1-tdist-01,HFA-DC1-cle-02,
HFA-DC1-tdist-02,HFA-DC1-cle-01,
HFA-DC1-tdist-02,HFA-DC1-cle-02,
HFA-DC1-cle-01,AWS-TGW-USW1,AWS
HFA-DC1-cle-01,AZURE-GW-WUS,AZURE
HFA-DC1-cle-02,AWS-TGW-USW1,AWS
HFA-DC1-cle-02,AZURE-GW-WUS,AZURE
